label,n,mean,fold_vs_baseline,t,p_value,significant (p < 0.05)
TF-A 25 ng,3,1.8013333333333332,1.788811651770937,19.009331733874845,0.00010712288297676781,True
TF-A 50 ng,3,2.2506666666666666,2.235021516054287,26.59510249374136,1.2640149443907311e-05,True
TF-A 100 ng,2,3.0625,3.0412115193644493,13.484101128704097,0.03638788592240705,True
TF-B 25 ng,3,1.5093333333333332,1.4988414432307182,9.260048550113682,0.0008997579269325928,True
TF-B 50 ng,3,1.857,1.8440913604766636,14.128128506730105,0.0002896238414039321,True
TF-B 100 ng,3,2.1346666666666665,2.1198278715657066,10.299817178274465,0.004582091367932864,True
TF-A + TF-B 12.5 ng each,3,2.251333333333333,2.2356835484938764,23.415090757752125,2.4315843237746735e-05,True
TF-A + TF-B 25 ng each,3,3.675333333333333,3.6497848394571335,18.830603340506674,0.0016008966495819014,True
TF-A + TF-B 50 ng each,3,4.753666666666667,4.720622310493215,10.87726032841784,0.007780151090500938,True
GFP control 25 ng,3,0.9873333333333333,0.9804700430321086,-0.5201721739537497,0.6413735694153944,False
GFP control 50 ng,3,0.9663333333333334,0.9596160211850382,-0.9464761131701522,0.40150573645447796,False
GFP control 100 ng,3,0.9363333333333334,0.9298245614035089,-1.2073550758540124,0.29960433242693807,False
