condition,dose,dose_level,label,mean,sd,n,fold_vs_baseline
TF-A,25 ng,1,TF-A 25 ng,1.8013333333333332,0.041016256939576216,3,1.788811651770937
TF-A,50 ng,2,TF-A 50 ng,2.250666666666667,0.05481179921634888,3,2.2350215160542874
TF-A,100 ng,3,TF-A 100 ng,3.0625,0.2100107140124044,2,3.0412115193644493
TF-B,25 ng,1,TF-B 25 ng,1.5093333333333332,0.07261083482052341,3,1.4988414432307182
TF-B,50 ng,2,TF-B 50 ng,1.857,0.08545759182190896,3,1.8440913604766636
TF-B,100 ng,3,TF-B 100 ng,2.1346666666666665,0.180012036634591,3,2.1198278715657066
TF-A + TF-B,12.5 ng each,1,TF-A + TF-B 12.5 ng each,2.251333333333333,0.07011656960614454,3,2.2356835484938764
TF-A + TF-B,25 ng each,2,TF-A + TF-B 25 ng each,3.675333333333333,0.23808051859262516,3,3.6497848394571335
TF-A + TF-B,50 ng each,3,TF-A + TF-B 50 ng each,4.753666666666667,0.5936163182842372,3,4.720622310493215
GFP control,25 ng,1,GFP control 25 ng,0.9873333333333333,0.027061657993059738,3,0.9804700430321086
GFP control,50 ng,2,GFP control 50 ng,0.9663333333333334,0.04452340208624372,3,0.9596160211850382
GFP control,100 ng,3,GFP control 100 ng,0.9363333333333334,0.08198373822492681,3,0.9298245614035089
Reporter only,100 ng,1,Reporter only 100 ng,1.007,0.059632206063502335,3,1.0
